"Nachname";"Vorname";"Alle Vornamen";"geburtsname";"geschlecht";"geburtsdatum";"geburtsort";"staatsangehörigkeit";"2. staatsang.";"konfession";"konfessionskuerzel";"drucke konfession";"konfessionsanmeldung";"konfessionsabmeldung";"geburtsland";"geburtsland vater";"geburtsland mutter";"verkehrssprache familie";"migrationshintergrund";"zuzugsjahr";"straße";"hausnummer";"hausnummernzusatz";"postleitzahl";"wohnort";"telefon";"mobil";"e-mail";"e-mail schule";"status";"klasse";"jahrgang";"anmeldedatum";"aufnahmedatum";"beginn bildungsgang";"dauer bildungsgang";"externe schulnummer";"beruf";"masernimpfnachweis";"keine auskunft an dritte";"schueler-basfoeg";"meister-bafoeg"
"Kravchenko";"Taras";"Taras";"";"m";"13.01.2007";"Saporischschja";"UKR";"";"griechisch-orthodox";"OR";"nein";"";"";"UKR";"UKR";"UKR";"Ukrainisch";"";"2023";"Niederstraße";"14";"";"57072";"Siegen";"0208 214576";"0179 35714784";"t.kravchenko@privat.de";"t.kravchenko@schule.de";"aktiv";"10c";"10";"";"01.08.2022";"";"";"";"";"ja";"nein";"nein";"nein"
"Şen";"Uğur";"Uğur";"";"m";"21.01.2007";"Duisburg";"TUR";"DEU";"islamisch";"IS";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2016";"Lange Straße";"141";"";"40210";"Düsseldorf";"0221 890170";"0179 32321899";"u.Sen@privat.de";"u.Sen@schule.de";"aktiv";"10c";"10";"";"01.08.2022";"";"";"";"";"nein";"nein";"nein";"nein"
"Yalçın";"Emre";"Emre";"";"m";"23.07.2008";"Adana";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2015";"Am Park";"117";"";"45470";"Mülheim";"0209 794022";"0173 30776478";"e.yalcin@privat.de";"e.yalcin@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"ja";"nein";"nein";"nein"
"Kellner";"Christoph";"Christoph";"";"m";"17.01.2007";"Düsseldorf";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Fichtenweg";"136";"";"51429";"Bergisch Gladbach";"0221 723939";"0177 41568532";"c.kellner@privat.de";"c.kellner@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"nein";"nein";"nein";"nein"
"Meyer";"Finn";"Finn";"";"m";"09.04.2008";"Hagen";"DEU";"";"katholisch";"KR";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Park";"53";"";"47798";"Krefeld";"";"0170 71367643";"f.meyer@privat.de";"f.meyer@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"nein";"nein";"nein";"nein"
"Ionescu";"Gabriel";"Gabriel";"";"m";"08.02.2008";"Timișoara";"ROU";"";"griechisch-orthodox";"OR";"nein";"";"";"ROU";"ROU";"ROU";"Rumänisch";"";"2015";"Am Park";"34";"";"45657";"Recklinghausen";"0202 974244";"0174 50603163";"g.ionescu@privat.de";"g.ionescu@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"ja";"nein";"nein";"nein"
"Lewandowski";"Urszula";"Urszula";"";"w";"20.05.2008";"Poznań";"POL";"";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2015";"Eschenweg";"40";"";"45127";"Essen";"0203 820892";"0170 77834855";"u.lewandowski@privat.de";"u.lewandowski@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"nein";"nein";"nein";"nein"
"Klein";"Jan";"Jan";"";"m";"24.03.2008";"Oberhausen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Nordstraße";"34";"";"44137";"Dortmund";"0208 688153";"0176 25015458";"j.klein@privat.de";"j.klein@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"ja";"nein";"nein";"nein"
"Đukić";"Dragan";"Dragan";"";"m";"12.01.2008";"Novi Sad";"SRB";"DEU";"islamisch";"IR";"nein";"";"";"SRB";"SRB";"SRB";"Serbisch";"";"2012";"Lindenstraße";"79";"";"44789";"Bochum";"0521 207786";"0171 85146293";"d.dukic@privat.de";"d.dukic@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"nein";"nein";"nein";"nein"
"Laurent";"Yann";"Yann";"";"m";"28.11.2008";"Köln";"FRA";"";"katholisch";"KR";"nein";"";"";"FRA";"FRA";"FRA";"Französisch";"";"2012";"Feldstraße";"86";"";"44141";"Dortmund";"0231 266931";"0177 61343880";"y.laurent@privat.de";"y.laurent@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"ja";"nein";"nein";"nein"
"Pham";"Thanh";"Thanh";"";"m";"11.07.2007";"Da Nang";"VNM";"DEU";"andere Religionen";"XR";"nein";"";"";"VNM";"VNM";"VNM";"Vietnamesisch";"";"2010";"Bahnhofstraße";"169";"";"52062";"Aachen";"0212 392683";"0171 96098221";"t.pham@privat.de";"t.pham@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"nein";"nein";"nein";"nein"
"Haddad";"Dina";"Dina";"";"w";"24.06.2008";"Homs";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2017";"Kirchstraße";"28";"";"47051";"Duisburg";"0209 221263";"0172 87388337";"d.haddad@privat.de";"d.haddad@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"ja";"nein";"nein";"nein"
"Müller";"Johanna";"Johanna";"";"w";"28.11.2008";"Essen";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Nordstraße";"160";"";"50823";"Köln";"0231 631756";"0170 99508850";"j.muller@privat.de";"j.muller@schule.de";"aktiv";"10d";"10";"";"01.08.2022";"";"";"";"";"nein";"nein";"nein";"nein"
"Bauer";"Jennifer";"Jennifer";"";"w";"27.09.2009";"Dortmund";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Eichenallee";"78";"";"42103";"Wuppertal";"0203 550770";"0175 91424737";"j.bauer@privat.de";"j.bauer@schule.de";"aktiv";"9a";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Yavuz";"Selda";"Selda";"";"w";"27.02.2009";"Gaziantep";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2016";"Bismarckstraße";"73";"";"48147";"Münster";"0231 335552";"0179 29777514";"s.yavuz@privat.de";"s.yavuz@schule.de";"aktiv";"9a";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Koch";"Vanessa";"Vanessa";"";"w";"23.11.2008";"Dortmund";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Bonner Straße";"63";"";"46238";"Bottrop";"0208 907451";"0177 67062156";"v.koch@privat.de";"v.koch@schule.de";"aktiv";"9b";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Wagner";"Sina";"Sina";"";"w";"20.08.2009";"Hannover";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Niederstraße";"171";"";"44791";"Bochum";"0208 970914";"0174 69849511";"s.wagner@privat.de";"s.wagner@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Al-Jundi";"Basma";"Basma";"";"w";"23.02.2009";"Homs";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2017";"Tulpenweg";"71";"";"46236";"Bottrop";"0234 435239";"0174 20814950";"b.aljundi@privat.de";"b.aljundi@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Hartmann";"Jessica";"Jessica";"";"w";"02.07.2009";"Wuppertal";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Nordstraße";"139";"";"57072";"Siegen";"0208 907189";"0175 12621534";"j.hartmann@privat.de";"j.hartmann@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Aktaş";"Tuğba";"Tuğba";"";"w";"16.07.2009";"Istanbul";"TUR";"DEU";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2017";"Ringweg";"57";"";"52062";"Aachen";"0521 812131";"0172 32151928";"t.aktaS@privat.de";"t.aktaS@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Stefan";"Florin";"Florin";"";"m";"13.05.2008";"Timișoara";"ROU";"";"ohne Bekenntnis";"OH";"nein";"";"";"ROU";"ROU";"ROU";"Rumänisch";"";"2015";"Niederstraße";"47";"";"44791";"Bochum";"0234 453894";"0172 47346970";"f.stefan@privat.de";"f.stefan@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Lauer";"Andreas";"Andreas";"";"m";"27.04.2008";"Dortmund";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Lindenstraße";"8";"";"50823";"Köln";"0203 232352";"0173 99853245";"a.lauer@privat.de";"a.lauer@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Demirci";"Furkan";"Furkan";"";"m";"01.10.2008";"Mersin";"TUR";"DEU";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2010";"Ringstraße";"80";"";"45138";"Essen";"0521 493537";"0172 36619372";"f.demirci@privat.de";"f.demirci@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Lewandowski";"Przemysław";"Przemysław";"";"m";"12.11.2009";"Krakau";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"";"Hubertusstraße";"137";"";"50668";"Köln";"0234 113266";"0172 75793759";"p.lewandowski@privat.de";"p.lewandowski@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Tekin";"Ceren";"Ceren";"";"w";"26.10.2009";"Mersin";"TUR";"";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2010";"Pappelweg";"167";"";"42103";"Wuppertal";"0202 587455";"0172 89520597";"c.tekin@privat.de";"c.tekin@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Klein";"Michael";"Michael";"";"m";"06.06.2009";"Krefeld";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Südstraße";"8";"";"45468";"Mülheim";"0212 370902";"0171 47535126";"m.klein@privat.de";"m.klein@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Yıldız";"Enes";"Enes";"";"m";"26.08.2009";"Istanbul";"TUR";"";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2015";"Mittelstraße";"166";"";"52072";"Aachen";"";"0179 64277800";"e.yildiz@privat.de";"e.yildiz@schule.de";"aktiv";"9c";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Lauer";"Sina";"Sina";"";"w";"10.05.2009";"Aachen";"DEU";"";"katholisch";"KR";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Viktoriastraße";"180";"";"53111";"Bonn";"0251 301939";"0171 26046365";"s.lauer@privat.de";"s.lauer@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Hahn";"Karin";"Karin";"";"w";"01.05.2008";"Bremen";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Rosenstraße";"93";"";"42699";"Solingen";"0231 147726";"0176 84270583";"k.hahn@privat.de";"k.hahn@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Ghazi";"Elias";"Elias";"";"m";"06.06.2009";"Damaskus";"SYR";"";"islamisch";"IR";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2015";"Mittelstraße";"123";"";"42697";"Solingen";"0208 600935";"0177 18770247";"e.ghazi@privat.de";"e.ghazi@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Koç";"Ömer";"Ömer";"";"m";"20.10.2009";"Gaziantep";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2013";"Beethovenstraße";"143";"";"45879";"Gelsenkirchen";"0212 647957";"0172 70467027";"o.koc@privat.de";"o.koc@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Keller";"Theresa";"Theresa";"";"w";"08.03.2008";"Münster";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Park";"170";"";"33615";"Bielefeld";"0201 102805";"0172 70465583";"t.keller@privat.de";"t.keller@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Schubert";"Oliver";"Oliver";"";"m";"04.07.2008";"Berlin";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Park";"161";"";"52064";"Aachen";"0201 378535";"0178 19584466";"o.schubert@privat.de";"o.schubert@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Reinhardt";"Mia";"Mia";"";"w";"03.08.2009";"München";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Bonner Straße";"70";"";"46045";"Oberhausen";"";"0172 53261270";"m.reinhardt@privat.de";"m.reinhardt@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Schneider";"Uwe";"Uwe";"";"m";"06.05.2009";"Hamburg";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Pappelweg";"167";"";"51427";"Bergisch Gladbach";"0208 615611";"0177 73083727";"u.schneider@privat.de";"u.schneider@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"nein";"nein";"nein";"nein"
"Uzun";"Gülcan";"Gülcan";"";"w";"02.09.2009";"Essen";"TUR";"";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2014";"Marktstraße";"170";"";"46238";"Bottrop";"";"0170 53389073";"g.uzun@privat.de";"g.uzun@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Dupont";"Charlotte";"Charlotte";"";"w";"25.10.2009";"Bordeaux";"FRA";"";"katholisch";"KR";"nein";"";"";"FRA";"FRA";"FRA";"Französisch";"";"2018";"Buchenweg";"133";"";"50672";"Köln";"0212 154118";"0179 45843681";"c.dupont@privat.de";"c.dupont@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Stefan";"Larisa";"Larisa";"";"w";"14.09.2008";"Bukarest";"ROU";"";"sonstige orthodoxe";"XO";"nein";"";"";"ROU";"ROU";"ROU";"Rumänisch";"";"2015";"Ringstraße";"80";"";"52072";"Aachen";"0208 218972";"0173 25766039";"l.stefan@privat.de";"l.stefan@schule.de";"aktiv";"9d";"09";"";"01.08.2023";"";"";"";"";"ja";"nein";"nein";"nein"
"Duman";"Esra";"Esra";"";"w";"07.07.2009";"Mersin";"TUR";"DEU";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2016";"Hochstraße";"142";"";"45879";"Gelsenkirchen";"0251 243139";"0177 47077298";"e.duman@privat.de";"e.duman@schule.de";"aktiv";"8a";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Müller";"Mia";"Mia";"";"w";"18.06.2010";"Berlin";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kastanienallee";"124";"";"42855";"Remscheid";"0234 297816";"0179 86745380";"m.muller@privat.de";"m.muller@schule.de";"aktiv";"8a";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Meyer";"Nadine";"Nadine";"";"w";"19.09.2009";"Duisburg";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Allee";"10";"";"48143";"Münster";"0208 986088";"0173 23383077";"n.meyer@privat.de";"n.meyer@schule.de";"aktiv";"8a";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Gross";"Kai";"Kai";"";"m";"03.11.2010";"Duisburg";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Südstraße";"160";"";"47051";"Duisburg";"0208 659543";"0172 52501540";"k.gross@privat.de";"k.gross@schule.de";"aktiv";"8a";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Antoniou";"Kostas";"Kostas";"";"m";"06.08.2009";"Köln";"GRC";"";"griechisch-orthodox";"OR";"ja";"";"";"GRC";"GRC";"GRC";"Griechisch";"";"2012";"Kurze Straße";"26";"";"40233";"Düsseldorf";"0211 148225";"0171 17532195";"k.antoniou@privat.de";"k.antoniou@schule.de";"aktiv";"8a";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Krüger";"Lisa";"Lisa";"";"w";"22.10.2010";"Bielefeld";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Bismarckstraße";"157";"";"42103";"Wuppertal";"0241 250069";"0179 71894493";"l.kruger@privat.de";"l.kruger@schule.de";"aktiv";"8a";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Demirci";"Halil";"Halil";"";"m";"14.11.2010";"Adana";"TUR";"";"islamisch";"IS";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2017";"Lange Straße";"89";"";"40210";"Düsseldorf";"0208 416797";"0179 61632653";"h.demirci@privat.de";"h.demirci@schule.de";"aktiv";"8a";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Beck";"Theresa";"Theresa";"";"w";"24.10.2009";"Krefeld";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Wald";"3";"";"51373";"Leverkusen";"0231 913423";"0179 91478884";"t.beck@privat.de";"t.beck@schule.de";"aktiv";"8b";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Lang";"Marco";"Marco";"";"m";"05.12.2010";"Düsseldorf";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Lange Straße";"9";"";"46047";"Oberhausen";"0234 883790";"0172 33574011";"m.lang@privat.de";"m.lang@schule.de";"aktiv";"8b";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Dietz";"Franziska";"Franziska";"";"w";"03.08.2009";"Bochum";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Rathausstraße";"87";"";"51429";"Bergisch Gladbach";"0203 809176";"0172 84801233";"f.dietz@privat.de";"f.dietz@schule.de";"aktiv";"8b";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Schmidt";"Maria";"Maria";"";"w";"22.02.2010";"Bielefeld";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Tannenweg";"98";"";"47051";"Duisburg";"0241 688678";"0171 91883846";"m.schmidt@privat.de";"m.schmidt@schule.de";"aktiv";"8b";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Adamczyk";"Justyna";"Justyna";"";"w";"04.02.2010";"Poznań";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"";"Kirchstraße";"78";"";"50668";"Köln";"0201 507524";"0173 59796322";"j.adamczyk@privat.de";"j.adamczyk@schule.de";"aktiv";"8b";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Głowacki";"Michał";"Michał";"";"m";"15.04.2010";"Köln";"POL";"";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2018";"Am Wald";"9";"";"57072";"Siegen";"0208 480303";"0177 59302863";"m.glowacki@privat.de";"m.glowacki@schule.de";"aktiv";"8b";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Köhler";"Jana";"Jana";"";"w";"26.03.2009";"Hamburg";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Bergstraße";"86";"";"44229";"Dortmund";"0208 902325";"0174 37804191";"j.kohler@privat.de";"j.kohler@schule.de";"aktiv";"8b";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Sokolov";"Andrei";"Andrei";"";"m";"04.03.2010";"Moskau";"RUS";"";"ohne Bekenntnis";"OH";"nein";"";"";"RUS";"RUS";"RUS";"Russisch";"";"";"Lessingstraße";"139";"";"44787";"Bochum";"";"0171 41934639";"a.sokolov@privat.de";"a.sokolov@schule.de";"aktiv";"8b";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Wagner";"Jennifer";"Jennifer";"";"w";"17.08.2009";"Bielefeld";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Breite Straße";"93";"";"51427";"Bergisch Gladbach";"0211 862569";"0174 50484137";"j.wagner@privat.de";"j.wagner@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Nowak";"Damian";"Damian";"";"m";"20.06.2009";"Wrocław";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2017";"Lange Straße";"19";"";"46236";"Bottrop";"";"0170 93794475";"d.nowak@privat.de";"d.nowak@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Voigt";"Franziska";"Franziska";"";"w";"11.07.2009";"Oberhausen";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Kurze Straße";"116";"";"33615";"Bielefeld";"0251 199704";"0171 67279295";"f.voigt@privat.de";"f.voigt@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Woźniak";"Klaudia";"Klaudia";"";"w";"24.12.2009";"Łódź";"POL";"DEU";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"";"Kaiserstraße";"111";"";"40211";"Düsseldorf";"0209 162894";"0175 85374852";"k.wozniak@privat.de";"k.wozniak@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Olszewski";"Sylwia";"Sylwia";"";"w";"17.10.2009";"Poznań";"POL";"";"römisch-katholisch";"KR";"ja";"";"";"POL";"POL";"POL";"Polnisch";"";"2017";"Hansastraße";"91";"";"42697";"Solingen";"0202 335137";"0177 56991504";"s.olszewski@privat.de";"s.olszewski@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Huber";"Tanja";"Tanja";"";"w";"12.06.2010";"Dortmund";"DEU";"";"evangelisch";"ER";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Bach";"180";"";"42285";"Wuppertal";"0201 693830";"0172 19339597";"t.huber@privat.de";"t.huber@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Khalil";"Habib";"Habib";"";"m";"24.05.2010";"Homs";"SYR";"";"syrisch-orthodox";"SO";"nein";"";"";"SYR";"SYR";"SYR";"Arabisch";"";"2018";"Südstraße";"41";"";"33098";"Paderborn";"0241 725185";"0177 17061037";"h.khalil@privat.de";"h.khalil@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Richter";"Michael";"Michael";"";"m";"04.09.2009";"Bonn";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Industriestraße";"70";"";"42853";"Remscheid";"0231 811163";"0175 75314742";"m.richter@privat.de";"m.richter@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Becker";"Anna";"Anna";"";"w";"01.02.2010";"Krefeld";"DEU";"";"evangelisch";"ER";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Am Markt";"75";"";"44791";"Bochum";"0201 235461";"0172 81481992";"a.becker@privat.de";"a.becker@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Şahin";"Yasemin";"Yasemin";"";"w";"14.10.2010";"Antalya";"TUR";"";"alevitisch";"AR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"";"Hochstraße";"20";"";"44229";"Dortmund";"0521 537983";"0170 25458308";"y.Sahin@privat.de";"y.Sahin@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Werner";"Claudia";"Claudia";"";"w";"13.10.2010";"Leverkusen";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Wilhelmstraße";"63";"";"47443";"Moers";"";"0170 55568701";"c.werner@privat.de";"c.werner@schule.de";"aktiv";"8c";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Koch";"Henrik";"Henrik";"";"m";"09.03.2009";"Wuppertal";"DEU";"";"ohne Bekenntnis";"OH";"nein";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Heinestraße";"61";"";"58095";"Hagen";"0201 897143";"0177 33776150";"h.koch@privat.de";"h.koch@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"nein";"nein";"nein";"nein"
"Yavuz";"Leyla";"Leyla";"";"w";"15.08.2009";"Konya";"TUR";"";"islamisch";"IR";"nein";"";"";"TUR";"TUR";"TUR";"Türkisch";"";"2014";"Parkstraße";"113";"";"47798";"Krefeld";"0231 720148";"0176 57236885";"l.yavuz@privat.de";"l.yavuz@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
"Weber";"Elena";"Elena";"";"w";"18.10.2010";"Hannover";"DEU";"";"katholisch";"KR";"ja";"";"";"DEU";"DEU";"DEU";"Deutsch";"";"";"Fichtenweg";"99";"";"40233";"Düsseldorf";"0202 949153";"0175 97488142";"e.weber@privat.de";"e.weber@schule.de";"aktiv";"8d";"08";"";"01.08.2024";"";"";"";"";"ja";"nein";"nein";"nein"
