"kuerzel";"personalTyp";"anrede";"titel";"amtsbezeichnung";"nachname";"vorname";"geschlecht";"geburtsdatum";"staatsangehoerigkeit";"strassenname";"hausnummer";"hausnummerZusatz";"plz";"wohnort";"telefon";"telefonMobil";"emailPrivat";"emailDienstlich";"istSichtbar";"istRelevantFuerStatistik"
"JOOS";"LEHRKRAFT";"Herr";"";"";"Joos";"Erik";"3";"1991-08-13";"000";"Schiefergasse";"474";"";"32469";"Petershagen";"01234 945198";"0197 104195";"E.Joos@lmail.de";"e.joos@dienst.lmail.com";"true";"true"
"JUNA";"LEHRKRAFT";"Herr";"";"";"Junack";"Jörg";"3";"1974-12-11";"000";"Puchanstraße";"225";"";"42579";"Heiligenhaus";"01234 997613";"0197 190000";"J.Junack@lmail.de";"j.junack@dienst.lmail.com";"true";"true"
"KALL";"LEHRKRAFT";"Frau";"";"";"Kallenberger";"Marina";"4";"1966-12-28";"000";"Brahestraße";"294";"";"57439";"Attendorn";"01234 928561";"0197 616208";"M.Kallenberger@lmail.de";"m.kallenberger@dienst.lmail.com";"true";"false"
"KARS";"LEHRKRAFT";"Herr";"";"";"Karstaedt";"Maik";"3";"1966-01-11";"000";"Letzte Straße";"435";"";"33129";"Delbrück";"01234 889401";"0197 789322";"M.Karstaedt@lmail.de";"m.karstaedt@dienst.lmail.com";"true";"true"
"KENN";"LEHRKRAFT";"Frau";"";"";"Kennedy";"Tanja";"4";"1993-01-27";"000";"Am Graben";"316";"";"45731";"Waltrop";"01234 978562";"0197 143589";"T.Kennedy@lmail.de";"t.kennedy@dienst.lmail.com";"true";"true"
"KETE";"LEHRKRAFT";"Frau";"";"";"Ketels";"Sabrina";"4";"1989-11-09";"000";"Bredtschneiderstraße";"102";"";"51688";"Wipperfürth";"01234 245085";"0197 854981";"S.Ketels@lmail.de";"s.ketels@dienst.lmail.com";"true";"false"
"KEUS";"LEHRKRAFT";"Frau";"";"";"Keuss";"Ulrike";"4";"1993-02-05";"000";"Finkenweg";"12";"";"41334";"Nettetal";"01234 778134";"0197 197429";"U.Keuss@lmail.de";"u.keuss@dienst.lmail.com";"true";"true"
"KNUT";"LEHRKRAFT";"Herr";"";"";"Knuth";"Lukas";"3";"1973-05-15";"000";"Alter Tegeler Weg";"261";"";"45475";"Mülheim";"01234 556970";"0197 315113";"L.Knuth@lmail.de";"l.knuth@dienst.lmail.com";"true";"true"
"KOHL";"LEHRKRAFT";"Frau";"";"";"Kohl";"Lisa";"4";"1983-09-17";"000";"Fürstenbrunner Weg";"174";"";"58507";"Lüdenscheid";"01234 439092";"0197 612400";"L.Kohl@lmail.de";"l.kohl@dienst.lmail.com";"true";"false"
"KORF";"LEHRKRAFT";"Frau";"";"";"Korff";"Lena";"4";"1983-07-31";"000";"Schubertstraße";"35";"";"51588";"Nümbrecht";"01234 330192";"0197 698875";"L.Korff@lmail.de";"l.korff@dienst.lmail.com";"true";"true"
"KRAF";"LEHRKRAFT";"Frau";"";"";"Kraft";"Christina";"4";"1991-11-12";"000";"Linkstraße";"291";"";"41066";"Mönchengladbach";"01234 301009";"0197 715126";"C.Kraft@lmail.de";"c.kraft@dienst.lmail.com";"true";"true"
"KRAH";"LEHRKRAFT";"Frau";"";"";"Krahner";"Gabriele";"4";"1957-09-08";"000";"Neben dem Nikolai-Kirchhofe";"8";"";"45888";"Gelsenkirchen";"01234 344384";"0197 840805";"G.Krahner@lmail.de";"g.krahner@dienst.lmail.com";"true";"false"
"KRUE";"LEHRKRAFT";"Herr";"";"";"Kruesen";"Ralf";"3";"1996-04-19";"000";"Neue Blumenstraße";"220";"";"58791";"Werdohl";"01234 721966";"0197 376351";"R.Kruesen@lmail.de";"r.kruesen@dienst.lmail.com";"true";"true"
"KRUS";"LEHRKRAFT";"Herr";"";"";"Krusemark";"Lukas";"3";"1957-04-15";"000";"Fürstenwalder Allee";"131";"";"46487";"Wesel";"01234 598063";"0197 952520";"L.Krusemark@lmail.de";"l.krusemark@dienst.lmail.com";"true";"true"
"KUGL";"LEHRKRAFT";"Frau";"";"";"Kuglann";"Ursula";"4";"1956-03-04";"000";"Lehmgasse";"40";"";"41540";"Dormagen";"01234 448275";"0197 385858";"U.Kuglann@lmail.de";"u.kuglann@dienst.lmail.com";"true";"false"
"KUHN";"LEHRKRAFT";"Frau";"";"";"Kuhn";"Christin";"4";"1988-12-05";"000";"Chaussee nach Berlin";"205";"";"41564";"Kaarst";"01234 472358";"0197 488600";"C.Kuhn@lmail.de";"c.kuhn@dienst.lmail.com";"true";"false"
"KUNO";"LEHRKRAFT";"Herr";"";"";"Kunow";"Klaus";"3";"1953-05-14";"000";"Markgrafenstraße";"106";"";"45239";"Essen";"01234 474745";"0197 996550";"K.Kunow@lmail.de";"k.kunow@dienst.lmail.com";"true";"true"
"KUT1";"LEHRKRAFT";"Frau";"";"";"Kutzki";"Franziska";"4";"1987-05-19";"000";"Kleine Wallstraße";"495";"";"46244";"Bottrop";"01234 875145";"0197 267106";"F.Kutzki@lmail.de";"f.kutzki@dienst.lmail.com";"true";"true"
"KÖH1";"LEHRKRAFT";"Herr";"";"";"Köhn";"Erik";"3";"1984-10-29";"000";"An den Bänken";"242";"";"40468";"Düsseldorf";"01234 171092";"0197 884847";"E.Koehn@lmail.de";"e.koehn@dienst.lmail.com";"true";"false"
"KÜNN";"LEHRKRAFT";"";"";"";"Künne";"Mike";"3";"1968-09-09";"000";"Spreegäßlein";"475";"";"44867";"Bochum";"01234 366692";"0197 836404";"M.Kuenne@lmail.de";"m.kuenne@dienst.lmail.com";"true";"true"
"LABR";"LEHRKRAFT";"Frau";"";"";"Labrot";"Claudia";"4";"1961-10-17";"000";"Stresemannstraße";"362";"";"48149";"Münster";"01234 677609";"0197 515979";"C.Labrot@lmail.de";"c.labrot@dienst.lmail.com";"true";"true"
"LAMP";"LEHRKRAFT";"Frau";"";"";"Lampe";"Claudia";"4";"1955-10-13";"000";"Rückertstraße";"168";"";"47802";"Krefeld";"01234 639261";"0197 234241";"C.Lampe@lmail.de";"c.lampe@dienst.lmail.com";"true";"true"
"LAPP";"LEHRKRAFT";"Frau";"";"";"Lappe";"Christine";"4";"1992-07-10";"000";"Littenstraße";"235";"";"48619";"Heek";"01234 715210";"0197 977635";"C.Lappe@lmail.de";"c.lappe@dienst.lmail.com";"true";"true"
"LAU1";"LEHRKRAFT";"Frau";"";"";"Laurent";"Heike";"4";"1983-04-12";"000";"Minkwitzweg";"494";"";"44357";"Dortmund";"01234 917040";"0197 199561";"H.Laurent@lmail.de";"h.laurent@dienst.lmail.com";"true";"true"
"LAUB";"LEHRKRAFT";"Frau";"";"";"Laubmeyer";"Birgit";"4";"1987-11-06";"000";"Stubenrauchstraße";"153";"";"50969";"Köln";"01234 348162";"0197 139470";"B.Laubmeyer@lmail.de";"b.laubmeyer@dienst.lmail.com";"true";"true"
"LAUG";"LEHRKRAFT";"Frau";"";"";"Laughton";"Anne";"4";"1989-04-03";"000";"Baldurstraße";"390";"";"59387";"Ascheberg";"01234 450256";"0197 992301";"A.Laughton@lmail.de";"a.laughton@dienst.lmail.com";"true";"true"
"LAUR";"LEHRKRAFT";"Frau";"";"";"Laurentsen";"Annett";"4";"1985-01-27";"000";"Barbenweg";"108";"";"41470";"Neuss";"01234 484586";"0197 520521";"A.Laurentsen@lmail.de";"a.laurentsen@dienst.lmail.com";"true";"true"
"LAUT";"LEHRKRAFT";"Frau";"";"";"Lauterbach";"Anne";"4";"1983-02-15";"000";"Schreberplatz";"359";"";"45470";"Mülheim";"01234 400012";"0197 299248";"A.Lauterbach@lmail.de";"a.lauterbach@dienst.lmail.com";"true";"false"
"LIEB";"LEHRKRAFT";"Frau";"";"";"Liebner";"Sabrina";"4";"1983-12-10";"000";"Triniusstraße";"458";"";"41236";"Mönchengladbach";"01234 876298";"0197 320812";"S.Liebner@lmail.de";"s.liebner@dienst.lmail.com";"true";"false"
"LOHE";"LEHRKRAFT";"Herr";"";"";"Lohe";"Robert";"3";"1988-02-25";"000";"Schloßbauplatz";"177";"";"47804";"Krefeld";"01234 699332";"0197 300192";"R.Lohe@lmail.de";"r.lohe@dienst.lmail.com";"true";"true"
"LORE";"LEHRKRAFT";"Frau";"";"";"Lorenses";"Lea";"4";"1992-11-15";"000";"Beutenweg";"37";"";"40477";"Düsseldorf";"01234 736376";"0197 840550";"L.Lorenses@lmail.de";"l.lorenses@dienst.lmail.com";"true";"true"
"LOTT";"LEHRKRAFT";"Herr";"";"";"Lottmann";"Jan";"3";"1979-06-18";"000";"Friedrich-Wilhelm-Platz";"418";"";"47529";"Duisburg";"01234 261438";"0197 653060";"J.Lottmann@lmail.de";"j.lottmann@dienst.lmail.com";"true";"false"
"LÜHR";"LEHRKRAFT";"Frau";"";"";"Lührs";"Juliane";"4";"1966-12-12";"000";"Adam-von-Trott-Straße";"282";"";"48703";"Stadtlohn";"01234 774335";"0197 270684";"J.Luehrs@lmail.de";"j.luehrs@dienst.lmail.com";"true";"false"
"MAGU";"LEHRKRAFT";"Herr";"";"";"Maguire";"Dieter";"3";"1990-05-04";"000";"Am Bahnhof Jungfernheide";"320";"";"42277";"Wuppertal";"01234 392830";"0197 734534";"D.Maguire@lmail.de";"d.maguire@dienst.lmail.com";"true";"false"
"MAR1";"LEHRKRAFT";"Frau";"";"";"Martin";"Antje";"4";"1980-07-09";"000";"Leuschnerdamm";"143";"";"40477";"Düsseldorf";"01234 987988";"0197 522968";"A.Martin@lmail.de";"a.martin@dienst.lmail.com";"true";"true"
"MATT";"LEHRKRAFT";"Frau";"";"";"Matthiesen";"Karolin";"4";"1986-08-12";"000";"Klostergasse";"293";"";"42277";"Wuppertal";"01234 303906";"0197 972182";"K.Matthiesen@lmail.de";"k.matthiesen@dienst.lmail.com";"true";"true"
"MAYF";"LEHRKRAFT";"Frau";"";"";"Mayfield";"Brigitte";"4";"1978-03-19";"000";"Alter Radelander Weg";"274";"";"42117";"Wuppertal";"01234 690340";"0197 288128";"B.Mayfield@lmail.de";"b.mayfield@dienst.lmail.com";"true";"true"
"MCCL";"LEHRKRAFT";"Frau";"";"";"McClendon";"Annett";"4";"1986-07-07";"000";"Finkengasse";"128";"";"53819";"Neunkirchen-Seelscheid";"01234 246947";"0197 345165";"A.McClendon@lmail.de";"a.mcclendon@dienst.lmail.com";"true";"false"
"MEY";"LEHRKRAFT";"Herr";"";"";"Mey";"Tim";"3";"1981-02-16";"000";"Carmerstraße";"379";"";"47269";"Duisburg";"01234 672674";"0197 402508";"T.Mey@lmail.de";"t.mey@dienst.lmail.com";"true";"false"
"MEY1";"LEHRKRAFT";"Frau";"";"";"Meyer";"Jana";"4";"1985-11-24";"000";"Elsterweg";"461";"";"46147";"Oberhausen";"01234 203153";"0197 497757";"J.Meyer@lmail.de";"j.meyer@dienst.lmail.com";"true";"true"
"MEY2";"LEHRKRAFT";"Frau";"";"";"Meyer";"Diana";"4";"1984-01-09";"000";"Eitelsdorfer Straße";"308";"";"45329";"Essen";"01234 652728";"0197 933090";"D.Meyer@lmail.de";"d.meyer@dienst.lmail.com";"true";"true"
"MINN";"LEHRKRAFT";"Herr";"";"";"Minning";"Steffen";"3";"1968-05-30";"000";"Schulzendorfer Straße";"331";"";"46483";"Wesel";"01234 635820";"0197 801387";"S.Minning@lmail.de";"s.minning@dienst.lmail.com";"true";"false"
"MOHN";"LEHRKRAFT";"Frau";"";"";"Mohnke";"Annett";"4";"1986-05-15";"000";"Kremmener Straße";"33";"";"59519";"Möhnesee";"01234 140291";"0197 400799";"A.Mohnke@lmail.de";"a.mohnke@dienst.lmail.com";"true";"false"
"MONI";"LEHRKRAFT";"Frau";"";"";"Monin";"Uta";"4";"1992-06-27";"000";"Flakenseestraße";"32";"";"33607";"Bielefeld";"01234 204414";"0197 418038";"U.Monin@lmail.de";"u.monin@dienst.lmail.com";"true";"true"
"MUTH";"LEHRKRAFT";"Frau";"";"";"Muth";"Anja";"4";"1990-06-01";"000";"Neue Gasse";"96";"";"50354";"Hürth";"01234 923754";"0197 904295";"A.Muth@lmail.de";"a.muth@dienst.lmail.com";"true";"true"
"MÖLL";"LEHRKRAFT";"Herr";"";"";"Möller";"Paul";"3";"1968-01-08";"000";"Schilfsängersteig";"105";"";"42369";"Wuppertal";"01234 804230";"0197 701022";"P.Moeller@lmail.de";"p.moeller@dienst.lmail.com";"true";"true"
"NAME";"LEHRKRAFT";"Frau";"";"";"Namens";"Karin";"4";"1983-07-25";"000";"Schönfärberplatz";"486";"";"37688";"Beverungen";"01234 957893";"0197 260415";"K.Namens@lmail.de";"k.namens@dienst.lmail.com";"true";"true"
"NICO";"LEHRKRAFT";"Frau";"";"";"Nicolaysen";"Melanie";"4";"1964-06-28";"000";"Alteneckstraße";"28";"";"45663";"Recklinghausen";"01234 887276";"0197 362118";"M.Nicolaysen@lmail.de";"m.nicolaysen@dienst.lmail.com";"true";"true"
"NIEH";"LEHRKRAFT";"Herr";"";"";"Niehues";"Michael";"3";"1956-05-12";"000";"Fürstenwalder Damm";"9";"";"48366";"Laer";"01234 578009";"0197 611800";"M.Niehues@lmail.de";"m.niehues@dienst.lmail.com";"true";"false"
"NIER";"LEHRKRAFT";"Frau";"";"";"Nierdrschlg";"Petra";"4";"1975-01-25";"000";"Epiphanienweg";"456";"";"32369";"Rahden";"01234 691030";"0197 681006";"P.Nierdrschlg@lmail.de";"p.nierdrschlg@dienst.lmail.com";"true";"true"
"NITS";"LEHRKRAFT";"Frau";"";"";"Nitschke";"Maria";"4";"1979-07-12";"000";"Müggelheimer Straße";"255";"";"59597";"Erwitte";"01234 505733";"0197 818153";"M.Nitschke@lmail.de";"m.nitschke@dienst.lmail.com";"true";"true"
"ORRO";"LEHRKRAFT";"Frau";"";"";"Orro";"Annett";"4";"1961-08-15";"000";"Buriger Weg";"141";"";"33824";"Werther";"01234 200034";"0197 465751";"A.Orro@lmail.de";"a.orro@dienst.lmail.com";"true";"true"
"PAV1";"LEHRKRAFT";"Frau";"";"";"Paven";"Monika";"4";"1985-05-18";"000";"Kalkscheunengasse";"144";"";"40878";"Ratingen";"01234 606207";"0197 730905";"M.Paven@lmail.de";"m.paven@dienst.lmail.com";"true";"true"
"PAVE";"LEHRKRAFT";"Herr";"";"";"Paven";"Max";"3";"1962-12-13";"000";"Pfeiffergasse";"66";"";"50968";"Köln";"01234 503974";"0197 499808";"M.Paven@lmail.de";"m.paven@dienst.lmail.com";"true";"true"
"PEAC";"LEHRKRAFT";"Frau";"";"";"Peacock";"Anne";"4";"1993-11-22";"000";"Brückenstraße";"121";"";"57074";"Siegen";"01234 765708";"0197 151292";"A.Peacock@lmail.de";"a.peacock@dienst.lmail.com";"true";"true"
"PERR";"LEHRKRAFT";"Frau";"";"";"Perrinet";"Susanne";"4";"1976-11-13";"000";"Adlershofer Straße";"95";"";"51375";"Leverkusen";"01234 456887";"0197 836148";"S.Perrinet@lmail.de";"s.perrinet@dienst.lmail.com";"true";"false"
"PLOG";"LEHRKRAFT";"Frau";"";"";"Plogen";"Heike";"4";"1979-07-20";"000";"Berliner Straße";"275";"";"50827";"Köln";"01234 666091";"0197 106544";"H.Plogen@lmail.de";"h.plogen@dienst.lmail.com";"true";"false"
"POPP";"LEHRKRAFT";"Herr";"";"";"Poppe";"Klaus";"3";"1953-06-30";"000";"Kleine Gertraudenstraße";"3";"";"48341";"Altenberge";"01234 148576";"0197 570549";"K.Poppe@lmail.de";"k.poppe@dienst.lmail.com";"true";"false"
"PUTE";"LEHRKRAFT";"Herr";"";"";"Puterer";"Klaus";"3";"1974-02-08";"000";"Müggelheimer Landstraße";"124";"";"59427";"Unna";"01234 544085";"0197 824520";"K.Puterer@lmail.de";"k.puterer@dienst.lmail.com";"true";"true"
"RADE";"LEHRKRAFT";"Herr";"";"";"Rademacher";"Maik";"3";"1984-12-05";"000";"Treppendorfer Weg";"145";"";"51515";"Kürten";"01234 740095";"0197 601252";"M.Rademacher@lmail.de";"m.rademacher@dienst.lmail.com";"true";"true"
"REIS";"LEHRKRAFT";"Frau";"";"";"Reissel";"Andrea";"4";"1979-10-16";"000";"Keibelstraße";"148";"";"57392";"Schmallenberg";"01234 694319";"0197 157686";"A.Reissel@lmail.de";"a.reissel@dienst.lmail.com";"true";"true"
"RICK";"LEHRKRAFT";"Herr";"";"";"Rickends";"Ulrich";"3";"1977-12-09";"000";"Breestpromenade";"190";"";"58513";"Lüdenscheid";"01234 818260";"0197 748300";"U.Rickends@lmail.de";"u.rickends@dienst.lmail.com";"true";"false"
"RISS";"LEHRKRAFT";"Frau";"";"";"Risse";"Gabriele";"4";"1989-05-14";"000";"Grolmanstraße";"448";"";"41747";"Viersen";"01234 703597";"0197 319253";"G.Risse@lmail.de";"g.risse@dienst.lmail.com";"true";"true"
"ROSE";"LEHRKRAFT";"Herr";"";"";"Rosendaal";"Niklas";"3";"1986-09-10";"000";"Leipziger Straße";"300";"";"40549";"Düsseldorf";"01234 280149";"0197 821361";"N.Rosendaal@lmail.de";"n.rosendaal@dienst.lmail.com";"true";"true"
"ROST";"LEHRKRAFT";"Herr";"";"";"Rostek";"Frank";"3";"1980-06-07";"000";"Neue Grünstraße";"442";"";"51709";"Marienheide";"01234 715993";"0197 150288";"F.Rostek@lmail.de";"f.rostek@dienst.lmail.com";"true";"true"
"ROTZ";"LEHRKRAFT";"Frau";"";"";"Rotzoll";"Barbara";"4";"1956-03-24";"000";"Brixplatz";"13";"";"41239";"Mönchengladbach";"01234 178893";"0197 994423";"B.Rotzoll@lmail.de";"b.rotzoll@dienst.lmail.com";"true";"false"
"RUHN";"LEHRKRAFT";"Frau";"";"";"Ruhnke";"Diana";"4";"1953-01-14";"000";"Kirchgasse";"488";"";"41517";"Grevenbroich";"01234 618633";"0197 637637";"D.Ruhnke@lmail.de";"d.ruhnke@dienst.lmail.com";"true";"true"
"SACK";"LEHRKRAFT";"Herr";"";"";"Sackmann";"Jonas";"3";"1972-07-21";"000";"Brösener Straße";"269";"";"58706";"Menden";"01234 577753";"0197 524317";"J.Sackmann@lmail.de";"j.sackmann@dienst.lmail.com";"true";"true"
"SCH1";"LEHRKRAFT";"Frau";"";"";"Schulte-Hanhof";"Sarah";"4";"1963-07-25";"000";"Franklinstraße";"313";"";"57462";"Olpe";"01234 391127";"0197 375306";"S.Schulte-Hanhof@lmail.de";"s.schulte-hanhof@dienst.lmail.com";"true";"true"
"SCH2";"LEHRKRAFT";"Frau";"";"";"Schellhass";"Susanne";"4";"1951-11-27";"000";"Buchholzweg";"6";"";"41539";"Dormagen";"01234 566030";"0197 686270";"S.Schellhass@lmail.de";"s.schellhass@dienst.lmail.com";"true";"false"
"SCH3";"LEHRKRAFT";"Frau";"";"";"Schulze-Üsbeck";"Sabrina";"4";"1968-09-27";"000";"Stellingdamm";"310";"";"48691";"Vreden";"01234 562564";"0197 531810";"S.Schulze-Uesbeck@lmail.de";"s.schulze-uesbeck@dienst.lmail.com";"true";"false"
"SCH4";"LEHRKRAFT";"Herr";"";"";"Schroeder";"Leon";"3";"1959-08-16";"000";"Biberpelzstraße";"268";"";"50767";"Köln";"01234 299525";"0197 697765";"L.Schroeder@lmail.de";"l.schroeder@dienst.lmail.com";"true";"true"
"SCH5";"LEHRKRAFT";"Frau";"";"";"Schneider";"Jessika";"4";"1981-09-11";"000";"Friedbergstraße";"239";"";"47574";"Goch";"01234 667902";"0197 991037";"J.Schneider@lmail.de";"j.schneider@dienst.lmail.com";"true";"true"
"SCH6";"LEHRKRAFT";"Herr";"";"";"SchröderSatorius";"Sebastian";"3";"1963-09-02";"000";"Schönerlinder Straße";"241";"";"58507";"Lüdenscheid";"01234 758490";"0197 559430";"S.SchroederSatorius@lmail.de";"s.schroedersatorius@dienst.lmail.com";"true";"false"
"SCH7";"LEHRKRAFT";"Frau";"";"";"Schneider";"Jennifer";"4";"1983-01-07";"000";"Schwarzer Weg";"489";"";"44866";"Bochum";"01234 186135";"0197 931861";"J.Schneider@lmail.de";"j.schneider@dienst.lmail.com";"true";"false"
"SCH8";"LEHRKRAFT";"Herr";"";"";"Schaefer";"Daniel";"3";"1990-08-11";"000";"Am Kanal";"174";"";"41363";"Jüchen";"01234 349432";"0197 466434";"D.Schaefer@lmail.de";"d.schaefer@dienst.lmail.com";"true";"true"
"SCH9";"LEHRKRAFT";"Frau";"";"";"Schlacke";"Franziska";"4";"1989-07-05";"000";"Schornsteinfegergasse";"44";"";"47055";"Duisburg";"01234 260180";"0197 969077";"F.Schlacke@lmail.de";"f.schlacke@dienst.lmail.com";"true";"true"
"SCHO";"LEHRKRAFT";"Frau";"";"";"Scholz";"Katja";"4";"1992-05-21";"000";"Schloßplatz";"286";"";"42279";"Wuppertal";"01234 350906";"0197 948224";"K.Scholz@lmail.de";"k.scholz@dienst.lmail.com";"true";"false"
"SCHR";"LEHRKRAFT";"Herr";"";"";"Schrage";"Sebastian";"3";"1983-07-25";"000";"Eschenallee";"207";"";"50321";"Brühl";"01234 165062";"0197 422204";"S.Schrage@lmail.de";"s.schrage@dienst.lmail.com";"true";"false"
"SIEM";"LEHRKRAFT";"Frau";"";"";"Siemens";"Ines";"4";"1989-09-17";"000";"Chaussee von Charlottenburg";"174";"";"52351";"Düren";"01234 657602";"0197 964036";"I.Siemens@lmail.de";"i.siemens@dienst.lmail.com";"true";"false"
"SPEC";"LEHRKRAFT";"Frau";"";"";"Specht";"Maria";"4";"1982-08-04";"000";"Rodestraße";"25";"";"59069";"Hamm";"01234 503103";"0197 636560";"M.Specht@lmail.de";"m.specht@dienst.lmail.com";"true";"true"
"SPEN";"LEHRKRAFT";"Herr";"";"";"Spencer";"Dominik";"3";"1991-09-19";"000";"Schönhorster Straße";"401";"";"59581";"Warstein";"01234 158485";"0197 158971";"D.Spencer@lmail.de";"d.spencer@dienst.lmail.com";"true";"true"
"SPIE";"LEHRKRAFT";"Frau";"";"";"Spielmann";"Lena";"4";"1989-09-10";"000";"Neue Dorfstraße";"130";"";"52249";"Eschweiler";"01234 314284";"0197 112899";"L.Spielmann@lmail.de";"l.spielmann@dienst.lmail.com";"true";"true"
"STAH";"LEHRKRAFT";"Frau";"";"";"Stahlmann";"Sandra";"4";"1988-04-07";"000";"Gierkezeile";"324";"";"51545";"Waldbröl";"01234 454492";"0197 615473";"S.Stahlmann@lmail.de";"s.stahlmann@dienst.lmail.com";"true";"false"
"STEE";"LEHRKRAFT";"Frau";"";"";"Steege";"Monika";"4";"1997-02-04";"000";"Schillerstraße";"310";"";"41472";"Neuss";"01234 750315";"0197 505180";"M.Steege@lmail.de";"m.steege@dienst.lmail.com";"true";"true"
"STEF";"LEHRKRAFT";"Herr";"";"";"Steffens";"Andreas";"3";"1969-08-26";"000";"Goslarer Ufer";"467";"";"42111";"Wuppertal";"01234 191712";"0197 319011";"A.Steffens@lmail.de";"a.steffens@dienst.lmail.com";"true";"true"
"STEP";"LEHRKRAFT";"Herr";"";"";"Stephan";"René";"3";"1967-03-04";"000";"Scharnweberstraße";"245";"";"51645";"Gummersbach";"01234 918667";"0197 795640";"R.Stephan@lmail.de";"r.stephan@dienst.lmail.com";"true";"true"
"STEY";"LEHRKRAFT";"Frau";"";"";"Stey";"Ulrike";"4";"1987-12-07";"000";"Finkeldeweg";"154";"";"53949";"Dahlem";"01234 545400";"0197 710407";"U.Stey@lmail.de";"u.stey@dienst.lmail.com";"true";"true"
"STOC";"LEHRKRAFT";"Frau";"";"";"Stockmeyer";"Christina";"4";"1993-12-19";"000";"Nagelgasse";"49";"";"57076";"Siegen";"01234 974021";"0197 391587";"C.Stockmeyer@lmail.de";"c.stockmeyer@dienst.lmail.com";"true";"true"
"STRA";"LEHRKRAFT";"Frau";"";"";"Strack";"Karolin";"4";"1987-01-04";"000";"Brassenpfad";"158";"";"32756";"Detmold";"01234 422155";"0197 888855";"K.Strack@lmail.de";"k.strack@dienst.lmail.com";"true";"true"
"STUP";"LEHRKRAFT";"Frau";"";"";"Stupperich";"Gabriele";"4";"1948-12-25";"000";"Guerickestraße";"429";"";"32049";"Herford";"01234 902482";"0197 329080";"G.Stupperich@lmail.de";"g.stupperich@dienst.lmail.com";"true";"false"
"SUET";"LEHRKRAFT";"Herr";"";"";"Suethausen";"Stefan";"3";"1984-10-07";"000";"Gatschkestraße";"267";"";"59269";"Beckum";"01234 173451";"0197 985276";"S.Suethausen@lmail.de";"s.suethausen@dienst.lmail.com";"true";"true"
"SYDO";"LEHRKRAFT";"Frau";"";"";"Sydow";"Sara";"4";"1954-09-06";"000";"Koppescher Armenfriedhof";"15";"";"57439";"Attendorn";"01234 723261";"0197 767521";"S.Sydow@lmail.de";"s.sydow@dienst.lmail.com";"true";"false"
"TELC";"LEHRKRAFT";"Frau";"";"";"Telchow";"Diana";"4";"1963-11-10";"000";"Alsenzer Weg";"344";"";"84405";"Dorfen";"01234 916099";"0197 563329";"D.Telchow@lmail.de";"d.telchow@dienst.lmail.com";"true";"true"
"THI1";"LEHRKRAFT";"Frau";"";"";"Thiele";"Claudia";"4";"1974-10-29";"000";"Swinemünder Straße";"275";"";"41515";"Grevenbroich";"01234 245398";"0197 463520";"C.Thiele@lmail.de";"c.thiele@dienst.lmail.com";"true";"true"
"THI2";"LEHRKRAFT";"Frau";"";"";"Thiede";"Martina";"4";"1984-01-12";"000";"Kakernacks Geßlein";"150";"";"50858";"Köln";"01234 226875";"0197 646869";"M.Thiede@lmail.de";"m.thiede@dienst.lmail.com";"true";"true"
"THOM";"LEHRKRAFT";"Herr";"";"";"Thomas";"Frank";"3";"1965-12-15";"000";"Färberstraße";"354";"";"57482";"Wenden";"01234 162821";"0197 585447";"F.Thomas@lmail.de";"f.thomas@dienst.lmail.com";"true";"true"
"TODT";"LEHRKRAFT";"Frau";"";"";"Todt";"Jessica";"4";"1978-04-05";"000";"Tabbertstraße";"206";"";"59557";"Lippstadt";"01234 563749";"0197 595628";"J.Todt@lmail.de";"j.todt@dienst.lmail.com";"true";"true"
"TREI";"LEHRKRAFT";"Frau";"";"";"Treinen";"Sarah";"4";"1983-07-01";"000";"Schönholzer Straße";"332";"";"59872";"Meschede";"01234 292419";"0197 365042";"S.Treinen@lmail.de";"s.treinen@dienst.lmail.com";"true";"true"
"VISA";"LEHRKRAFT";"Herr";"";"";"Visard";"Dennis";"3";"1977-05-14";"000";"Frankenbergstraße";"332";"";"52152";"Simmerath";"01234 694947";"0197 399145";"D.Visard@lmail.de";"d.visard@dienst.lmail.com";"true";"true"
"VOLQ";"LEHRKRAFT";"Frau";"";"";"Volquartsen";"Claudia";"4";"1994-10-17";"000";"Koppescher Armenfriedhof";"101";"";"48165";"Münster";"01234 504108";"0197 397096";"C.Volquartsen@lmail.de";"c.volquartsen@dienst.lmail.com";"true";"true"
"WALM";"LEHRKRAFT";"Frau";"";"";"Walmeyer";"Sarah";"4";"1965-12-10";"000";"Forstmeisterweg";"470";"";"52222";"Stolberg";"01234 862621";"0197 753592";"S.Walmeyer@lmail.de";"s.walmeyer@dienst.lmail.com";"true";"false"
"WALP";"LEHRKRAFT";"Frau";"";"";"Walpurgis";"Birgit";"4";"1964-11-28";"000";"Letzte Straße";"204";"";"58089";"Hagen";"01234 822471";"0197 215351";"B.Walpurgis@lmail.de";"b.walpurgis@dienst.lmail.com";"true";"true"
"WAZI";"LEHRKRAFT";"Frau";"";"";"Wazingjack";"Nadine";"4";"1968-06-26";"000";"Segewaldweg";"262";"";"41379";"Brüggen";"01234 455386";"0197 560161";"N.Wazingjack@lmail.de";"n.wazingjack@dienst.lmail.com";"true";"false"
"WEI1";"LEHRKRAFT";"Herr";"";"";"Weidmann";"Niklas";"3";"1977-03-13";"000";"Enkenbacher Weg";"155";"";"40789";"Monheim";"01234 278403";"0197 817620";"N.Weidmann@lmail.de";"n.weidmann@dienst.lmail.com";"true";"false"
